PC_ID,Innate,Current,Maximum,derivative
1,agility,4.30,4.30,0.10
1,analytical reasoning,2.50,2.50,0.10
1,bravery,3.34,3.34,0.10
1,endurance,2.78,2.78,0.10
1,honesty,3.55,3.55,0.10
1,intuition,4.78,4.78,0.10
1,loyalty,4.10,4.10,0.10
1,memory,1.90,1.90,0.10
1,obedience,4.00,4.00,0.10
1,pain tolerance,4.50,4.50,0.10
1,perception,3.80,3.80,0.10
1,reflex,4.90,4.90,0.10
1,speed,5.30,5.30,0.10
1,strength,2.56,2.56,0.10
2,agility,4.80,4.80,0.10
2,analytical reasoning,-0.25,-0.25,0.10
2,bravery,3.02,3.02,0.10
2,endurance,2.90,2.90,0.10
2,honesty,3.40,3.40,0.10
2,intuition,5.10,5.10,0.10
2,loyalty,3.90,3.90,0.10
2,memory,2.20,2.20,0.10
2,obedience,3.80,3.80,0.10
2,pain tolerance,4.70,4.70,0.10
2,perception,4.20,4.20,0.10
2,reflex,4.10,4.10,0.10
2,speed,3.90,3.90,0.10
2,strength,1.75,1.75,0.10
3,agility,1.30,1.30,0.03
3,analytical reasoning,0.50,0.50,0.51
3,bravery,1.12,1.12,0.42
3,endurance,2.05,2.05,0.53
3,honesty,0.79,0.79,0.23
3,intuition,0.77,0.77,0.21
3,loyalty,1.37,1.37,0.05
3,memory,3.21,3.21,0.23
3,obedience,0.93,0.93,0.11
3,pain tolerance,-0.65,-0.65,0.05
3,perception,2.64,2.64,0.10
3,reflex,2.68,2.68,0.23
3,speed,1.51,1.51,0.07
3,strength,2.18,2.18,0.01
4,agility,1.69,1.69,0.21
4,analytical reasoning,0.40,0.40,0.02
4,bravery,1.91,1.91,0.18
4,endurance,1.90,1.90,0.47
4,honesty,2.09,2.09,0.01
4,intuition,2.10,2.10,0.01
4,loyalty,2.03,2.03,0.01
4,memory,3.36,3.36,0.15
4,obedience,1.70,1.70,0.05
4,pain tolerance,0.55,0.55,0.01
4,perception,1.19,1.19,0.22
4,reflex,1.14,1.14,0.17
4,speed,1.42,1.42,0.01
4,strength,2.00,2.00,0.05
6,agility,3.12,3.12,0.05
6,analytical reasoning,2.27,2.27,0.07
6,bravery,2.32,2.32,0.01
6,endurance,1.54,1.54,0.03
6,honesty,2.19,2.19,0.01
6,intuition,2.16,2.16,0.03
6,loyalty,2.14,2.14,0.31
6,memory,1.62,1.62,0.01
6,obedience,0.12,0.12,0.45
6,pain tolerance,2.56,2.56,0.20
6,perception,1.09,1.09,0.10
6,reflex,1.48,1.48,0.12
6,speed,3.03,3.03,0.16
6,strength,0.16,0.16,0.04
7,agility,2.33,2.33,0.17
7,analytical reasoning,0.62,0.62,0.13
7,bravery,1.12,1.12,0.03
7,endurance,2.85,2.85,0.18
7,honesty,0.94,0.94,0.53
7,intuition,1.80,1.80,0.19
7,loyalty,0.99,0.99,0.01
7,memory,1.91,1.91,0.01
7,obedience,1.98,1.98,0.05
7,pain tolerance,0.86,0.86,0.05
7,perception,1.20,1.20,0.04
7,reflex,3.19,3.19,0.01
7,speed,1.13,1.13,0.17
7,strength,1.52,1.52,0.01
8,agility,0.51,0.51,0.18
8,analytical reasoning,1.47,1.47,0.16
8,bravery,0.19,0.19,0.04
8,endurance,0.89,0.89,0.62
8,honesty,3.35,3.35,0.06
8,intuition,3.65,3.65,0.14
8,loyalty,1.24,1.24,0.05
8,memory,1.47,1.47,0.28
8,obedience,1.78,1.78,0.05
8,pain tolerance,-0.26,-0.26,0.76
8,perception,2.35,2.35,0.01
8,reflex,3.70,3.70,0.01
8,speed,2.20,2.20,0.15
8,strength,-0.01,-0.01,0.18
10,agility,2.53,2.53,0.12
10,analytical reasoning,0.88,0.88,0.05
10,bravery,1.93,1.93,0.09
10,endurance,-0.27,-0.27,0.01
10,honesty,0.78,0.78,0.21
10,intuition,0.68,0.68,0.02
10,loyalty,-0.07,-0.07,0.04
10,memory,1.52,1.52,0.03
10,obedience,1.10,1.10,0.29
10,pain tolerance,2.18,2.18,0.01
10,perception,1.28,1.28,0.01
10,reflex,1.32,1.32,0.16
10,speed,1.54,1.54,0.22
10,strength,1.30,1.30,0.03
11,agility,-0.61,-0.61,0.01
11,analytical reasoning,-0.26,-0.26,0.27
11,bravery,2.86,2.86,0.16
11,endurance,0.74,0.74,0.04
11,honesty,2.65,2.65,0.19
11,intuition,3.78,3.78,0.18
11,loyalty,1.04,1.04,0.57
11,memory,0.90,0.90,0.12
11,obedience,1.13,1.13,0.15
11,pain tolerance,1.69,1.69,0.11
11,perception,1.72,1.72,0.24
11,reflex,1.53,1.53,0.18
11,speed,1.58,1.58,0.01
11,strength,1.65,1.65,0.04
14,agility,2.60,2.60,0.08
14,analytical reasoning,0.84,0.84,0.11
14,bravery,1.33,1.33,0.11
14,endurance,3.41,3.41,0.17
14,honesty,1.11,1.11,0.39
14,intuition,1.53,1.53,0.29
14,loyalty,2.82,2.82,0.01
14,memory,2.80,2.80,0.05
14,obedience,1.78,1.78,0.25
14,pain tolerance,1.87,1.87,0.24
14,perception,2.20,2.20,0.02
14,reflex,1.19,1.19,0.42
14,speed,1.59,1.59,0.14
14,strength,1.70,1.70,0.15
15,agility,1.85,1.85,0.20
15,analytical reasoning,1.80,1.80,0.03
15,bravery,2.03,2.03,0.47
15,endurance,3.31,3.31,0.14
15,honesty,1.32,1.32,0.13
15,intuition,1.70,1.70,0.40
15,loyalty,1.33,1.33,0.05
15,memory,0.63,0.63,0.03
15,obedience,0.86,0.86,0.14
15,pain tolerance,0.26,0.26,0.45
15,perception,0.80,0.80,0.08
15,reflex,3.28,3.28,0.03
15,speed,1.38,1.38,0.01
15,strength,4.05,4.05,0.20
16,agility,0.80,0.80,0.13
16,analytical reasoning,1.95,1.95,0.04
16,bravery,0.51,0.51,0.11
16,endurance,2.21,2.21,0.29
16,honesty,1.31,1.31,0.38
16,intuition,1.71,1.71,0.28
16,loyalty,0.91,0.91,0.33
16,memory,2.35,2.35,0.14
16,obedience,2.58,2.58,0.03
16,pain tolerance,1.64,1.64,0.01
16,perception,2.80,2.80,0.35
16,reflex,3.10,3.10,0.03
16,speed,2.47,2.47,0.09
16,strength,1.00,1.00,0.05
17,agility,1.38,1.38,0.10
17,analytical reasoning,1.20,1.20,0.09
17,bravery,2.01,2.01,0.24
17,endurance,3.37,3.37,0.32
17,honesty,2.61,2.61,0.03
17,intuition,1.47,1.47,0.05
17,loyalty,3.28,3.28,0.01
17,memory,0.78,0.78,0.23
17,obedience,2.55,2.55,0.13
