"Town","county","Status"
"Aberford","Yorkshire",
"Abingdon","Oxfordshire","town council1"
"Accrington","Lancashire","borough (1878–1974)"
"Acle","Norfolk","market charter"
"Acton","Greater London","borough (1921–1965)"
"Adlington","Lancashire","town council1"
"Alcester","Warwickshire","town council"
"Aldeburgh","Suffolk","town council1"
"Aldershot","Hampshire","borough (1922–1974)"
"Alford","Lincolnshire","town council1"
"Alfreton","Derbyshire","town council"
"Alnwick","Northumberland","town council1"
"Alsager","Cheshire","town council1"
"Alston","Cumbria","market charter"
"Alton","Hampshire","town council1"
"Altrincham","Greater Manchester","borough (1937–1974)"
"Amble","Northumberland","town council1"
"Ambleside","Cumbria","market charter"
"Amersham","Buckinghamshire","town council"
"Amesbury","Wiltshire","town council"
"Ampthill","Bedfordshire","town council1"
"Andover","Hampshire","borough (1835–1974)"
"Appleby-in-Westmorland","Cumbria","town council1"
"Arlesey","Bedfordshire","town council"
"Arundel","West Sussex","town council1"
"Ashbourne","Derbyshire","town council1"
"Ashburton","Devon","town council1"
"Ashby Woulds","Leicestershire","town council1"
"Ashby-de-la-Zouch","Leicestershire","town council1"
"Ashford","Kent","market charter"
"Ashington","Northumberland","town council"
"Ashton-under-Lyne","Greater Manchester","borough (1847–1974)"
"Askern","South Yorkshire","town council"
"Aspatria","Cumbria","town council"
"Atherstone","Warwickshire","town council"
"Attleborough","Norfolk","town council"
"Avonmouth","Bristol",
"Axbridge","Somerset","town council"
"Axminster","Devon","town council"
"Aylesbury","Buckinghamshire","town council"
"Aylsham","Norfolk","town council"
"Bacup","Lancashire","borough (1883–1974)"
"Bagby","Yorkshire",
"Bakewell","Derbyshire","town council1"
"Banbury","Oxfordshire","town council"
"Barking","Greater London","borough (1931–1965)"
"Barnard Castle","Durham","town council1"
"Barnes","Greater London","borough (1932–1965)"
"Barnet","Greater London","market charter"
"Barnoldswick","Lancashire","town council"
"Barnsley","South Yorkshire","borough (1869–1974)"
"Barnstaple","Devon","town council1"
"Barrow-in-Furness","Cumbria","borough (1867–1974)"
"Barton-upon-Humber","Lincolnshire","town council1"
"Basingstoke","Hampshire","borough (1835–1974)"
"Batley","West Yorkshire","borough (1868–1974)"
"Battle","East Sussex","town council"
"Bawtry","South Yorkshire","town council"
"Beaconsfield","Buckinghamshire","town council1"
"Beaminster","Dorset","town council"
"Bebington","Merseyside","borough (1937–1974)"
"Beccles","Suffolk","town council1"
"Beckenham","Greater London","borough (1935–1965)"
"Bedale","North Yorkshire","town council"
"Bedford","Bedfordshire","borough (1835–1974)"
"Bedworth","Warwickshire","market charter"
"Belper","Derbyshire","town council1"
"Bentham","North Yorkshire","town council"
"Berkeley","Gloucestershire","town council"
"Berkhamsted","Hertfordshire","town council1"
"Berwick-upon-Tweed","Northumberland","town council"
"Beverley","East Riding of Yorkshire","town council"
"Bewdley","Worcestershire","town council1"
"Bexhill-on-Sea","East Sussex","charter trustees"
"Bexley","Greater London","borough (1937–1965)"
"Bicester","Oxfordshire","town council1"
"Biddulph","Staffordshire","town council1"
"Bideford","Devon","town council1"
"Biggleswade","Bedfordshire","town council1"
"Billericay","Essex","town council"
"Billingham","Durham","town council"
"Bilston","West Midlands","borough (1938–1967)"
"Bingham","Nottinghamshire","town council"
"Bingley","West Yorkshire","market charter"
"Birchwood","Cheshire","town council"
"Birkenhead","Merseyside","borough (1877–1974)"
"Bishop Auckland","Durham","town council"
"Bishop's Castle","Shropshire","borough (1885–1974)"
"Bishop's Stortford","Hertfordshire","town council1"
"Bishop's Waltham","Hampshire","market charter"
"Blackburn","Lancashire","borough (1851–1974)"
"Blackpool","Lancashire","borough (1867–1974)"
"Blackrod","Greater Manchester","town council1"
"Blackwater and Hawley","Hampshire","town council"
"Blandford Forum","Dorset","town council1"
"Bletchley and Fenny Stratford","Buckinghamshire","town council"
"Blyth","Northumberland","town council"
"Bodmin","Cornwall","town council1"
"Bognor Regis","West Sussex","town council"
"Bollington","Cheshire","town council1"
"Bolsover","Derbyshire","town council1"
"Bolton","Greater Manchester","borough (1838–1974)"
"Bootle","Merseyside","borough (1868–1974)"
"Boroughbridge","North Yorkshire","town council"
"Boston","Lincolnshire","town council"
"Bottesford","Lincolnshire","town council"
"Bourne","Lincolnshire","town council1"
"Bournemouth","Dorset","borough (1890–1974)"
"Bovey Tracey","Devon","town council"
"Brackley","Northamptonshire","town council1"
"Bradford-on-Avon","Wiltshire","town council1"
"Brading","Isle of Wight","town council"
"Bradley Stoke","Gloucestershire","town council"
